"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","10128","","CabinetTest","","CabinetTest","","constructorButtonClickInCabinetPageTest",""
"passed","","","10139","","CabinetTest","","CabinetTest","","gotoCabinetPageTest",""
"passed","","","9363","","AuthorizationTest","","AuthorizationTest","","headerLoginButtonTest",""
"passed","","","7556","","AuthorizationTest","","AuthorizationTest","","registrationLoginButtonTest",""
"failed","","","5897","","MainPageTest","","MainPageTest","","entityBunsButtonClickTest",""
"passed","","","9294","","CabinetTest","","CabinetTest","","logoClickInCabinetPageTest",""
"passed","","","8847","","AuthorizationTest","","AuthorizationTest","","passwordRecoveryButtonTest",""
"passed","","","5690","","MainPageTest","","MainPageTest","","entitySaucesButtonClickTest",""
"passed","","","6900","","MainPageTest","","MainPageTest","","entityFillingsButtonClickTest",""
"failed","","","9500","","RegistrationTest","","RegistrationTest","","registrationTest",""
"passed","","","24413","","AuthorizationTest","","AuthorizationTest","","mainPageLoginButtonTest",""
"passed","","","10387","","CabinetTest","","CabinetTest","","exitButtonClickTest",""
"passed","","","8385","","RegistrationTest","","RegistrationTest","","registrationWithIncorrectPasswordTest",""
